step,body,x,y
22,8,1.2954,1.5737
23,0,-10.2611,12.8487
23,1,1.2295,2.7925
23,2,17.6162,-18.9976
23,3,-18.0770,-16.5803
23,4,-0.9081,-15.0616
23,5,9.7302,12.1907
23,6,-6.4830,-5.8872
23,7,-10.2875,16.9269
23,8,1.2721,1.5604
24,0,-10.3054,12.8177
24,1,1.1217,2.9313
24,2,17.5455,-18.9933
24,3,-18.1486,-16.6015
24,4,-0.8478,-15.1262
24,5,9.7567,12.1151
24,6,-6.5014,-5.9540
24,7,-10.2732,16.8256
24,8,1.2485,1.5505
25,0,-10.3497,12.7874
25,1,1.0147,3.0605
25,2,17.4746,-18.9890
25,3,-18.2200,-16.6227
25,4,-0.7874,-15.1907
25,5,9.7831,12.0393
25,6,-6.5195,-6.0209
25,7,-10.2589,16.7230
25,8,1.2247,1.5433
26,0,-10.3938,12.7579
26,1,0.9087,3.1818
26,2,17.4037,-18.9847
26,3,-18.2914,-16.6437
26,4,-0.7270,-15.2551
26,5,9.8092,11.9634
26,6,-6.5375,-6.0876
26,7,-10.2446,16.6191
26,8,1.2005,1.5383
27,0,-10.4379,12.7291
27,1,0.8038,3.2964
27,2,17.3326,-18.9803
27,3,-18.3626,-16.6648
27,4,-0.6666,-15.3194
27,5,9.8352,11.8873
27,6,-6.5552,-6.1544
27,7,-10.2303,16.5138
27,8,1.1758,1.5352
28,0,-10.4817,12.7011
28,1,0.7001,3.4054
28,2,17.2615,-18.9758
28,3,-18.4337,-16.6857
28,4,-0.6062,-15.3836
28,5,9.8610,11.8111
28,6,-6.5727,-6.2210
28,7,-10.2159,16.4071
28,8,1.1508,1.5337
29,0,-10.5255,12.6740
29,1,0.5974,3.5095
29,2,17.1902,-18.9713
29,3,-18.5047,-16.7066
29,4,-0.5459,-15.4476
29,5,9.8866,11.7348
29,6,-6.5901,-6.2877
29,7,-10.2016,16.2990
29,8,1.1254,1.5335
30,0,-10.5690,12.6477
30,1,0.4958,3.6093
30,2,17.1189,-18.9667
30,3,-18.5756,-16.7274
30,4,-0.4855,-15.5116
30,5,9.9121,11.6583
30,6,-6.6072,-6.3542
30,7,-10.1874,16.1894
30,8,1.0996,1.5346
31,0,-10.6123,12.6223
31,1,0.3953,3.7052
31,2,17.0474,-18.9621
31,3,-18.6464,-16.7482
31,4,-0.4251,-15.5754
31,5,9.9373,11.5818
31,6,-6.6242,-6.4208
31,7,-10.1732,16.0782
31,8,1.0734,1.5367
32,0,-10.6554,12.5978
32,1,0.2958,3.7977
32,2,16.9758,-18.9574
32,3,-18.7171,-16.7689
32,4,-0.3648,-15.6391
32,5,9.9624,11.5050
32,6,-6.6410,-6.4873
32,7,-10.1592,15.9653
32,8,1.0468,1.5398
33,0,-10.6983,12.5744
33,1,0.1973,3.8870
33,2,16.9042,-18.9527
33,3,-18.7877,-16.7895
33,4,-0.3044,-15.7027
33,5,9.9873,11.4282
33,6,-6.6575,-6.5537
33,7,-10.1453,15.8508
33,8,1.0199,1.5438
34,0,-10.7408,12.5520
34,1,0.0996,3.9735
34,2,16.8324,-18.9478
34,3,-18.8582,-16.8101
34,4,-0.2441,-15.7661
34,5,10.0120,11.3512
34,6,-6.6739,-6.6201
34,7,-10.1317,15.7345
34,8,0.9926,1.5486
35,0,-10.7830,12.5307
35,1,0.0029,4.0575
35,2,16.7605,-18.9430
35,3,-18.9285,-16.8306
35,4,-0.1837,-15.8295
35,5,10.0366,11.2741
35,6,-6.6901,-6.6864
35,7,-10.1183,15.6163
35,8,0.9649,1.5542
36,0,-10.8249,12.5105
36,1,-0.0930,4.1390
36,2,16.6885,-18.9380
36,3,-18.9988,-16.8510
36,4,-0.1234,-15.8928
36,5,10.0609,11.1968
36,6,-6.7062,-6.7526
36,7,-10.1053,15.4961
36,8,0.9370,1.5604
37,0,-10.8663,12.4916
37,1,-0.1881,4.2182
37,2,16.6164,-18.9330
37,3,-19.0690,-16.8714
37,4,-0.0631,-15.9559
37,5,10.0851,11.1195
37,6,-6.7220,-6.8189
37,7,-10.0926,15.3740
37,8,0.9087,1.5673
38,0,-10.9073,12.4740
38,1,-0.2823,4.2955
38,2,16.5442,-18.9280
38,3,-19.1390,-16.8918
38,4,-0.0027,-16.0189
38,5,10.1090,11.0420
38,6,-6.7377,-6.8850
38,7,-10.0805,15.2496
38,8,0.8801,1.5748
39,0,-10.9477,12.4577
39,1,-0.3759,4.3707
39,2,16.4719,-18.9229
39,3,-19.2090,-16.9120
39,4,0.0576,-16.0819
39,5,10.1328,10.9643
39,6,-6.7532,-6.9511
39,7,-10.0689,15.1231
39,8,0.8512,1.5829
40,0,-10.9875,12.4429
40,1,-0.4687,4.4442
40,2,16.3995,-18.9177
40,3,-19.2789,-16.9322
40,4,0.1180,-16.1447
40,5,10.1564,10.8866
40,6,-6.7685,-7.0171
40,7,-10.0579,14.9941
40,8,0.8221,1.5915
41,0,-11.0266,12.4296
41,1,-0.5608,4.5160
41,2,16.3269,-18.9125
41,3,-19.3486,-16.9524
41,4,0.1783,-16.2074
41,5,10.1798,10.8087
41,6,-6.7836,-7.0831
41,7,-10.0478,14.8626
41,8,0.7926,1.6005
42,0,-11.0649,12.4179
42,1,-0.6523,4.5862
42,2,16.2543,-18.9072
42,3,-19.4183,-16.9725
42,4,0.2387,-16.2700
42,5,10.2030,10.7307
42,6,-6.7986,-7.1490
42,7,-10.0386,14.7285
42,8,0.7628,1.6101
43,0,-11.1023,12.4080
43,1,-0.7431,4.6548
43,2,16.1815,-18.9018
43,3,-19.4879,-16.9925
43,4,0.2990,-16.3325
43,5,10.2260,10.6526
43,6,-6.8133,-7.2149
43,7,-10.0305,14.5916
43,8,0.7328,1.6201
44,0,-11.1387,12.4000
44,1,-0.8333,4.7221
44,2,16.1086,-18.8964
44,3,-19.5574,-17.0125
44,4,0.3594,-16.3948
44,5,10.2489,10.5743
44,6,-6.8280,-7.2806
44,7,-10.0238,14.4518
44,8,0.7025,1.6306
45,0,-11.1738,12.3939
45,1,-0.9229,4.7880
45,2,16.0356,-18.8909
45,3,-19.6267,-17.0324
45,4,0.4197,-16.4571
45,5,10.2715,10.4960
45,6,-6.8424,-7.3464
45,7,-10.0186,14.3087
45,8,0.6719,1.6414
46,0,-11.2074,12.3899
46,1,-1.0119,4.8526
46,2,15.9624,-18.8854
46,3,-19.6960,-17.0523
46,4,0.4801,-16.5193
46,5,10.2939,10.4175
46,6,-6.8567,-7.4120
46,7,-10.0152,14.1624
46,8,0.6411,1.6527
47,0,-11.2394,12.3881
47,1,-1.1004,4.9159
47,2,15.8892,-18.8798
47,3,-19.7652,-17.0721
47,4,0.5405,-16.5814
47,5,10.3162,10.3388
47,6,-6.8708,-7.4776
47,7,-10.0141,14.0125
47,8,0.6100,1.6643
48,0,-11.2694,12.3887
48,1,-1.1883,4.9782
48,2,15.8158,-18.8741
48,3,-19.8343,-17.0918
48,4,0.6008,-16.6433
48,5,10.3382,10.2601
48,6,-6.8848,-7.5432
48,7,-10.0156,13.8589
48,8,0.5787,1.6763
49,0,-11.2971,12.3919
49,1,-1.2758,5.0393
49,2,15.7423,-18.8684
49,3,-19.9033,-17.1115
49,4,0.6612,-16.7052
49,5,10.3601,10.1812
49,6,-6.8986,-7.6086
49,7,-10.0203,13.7013
49,8,0.5471,1.6886
50,0,-11.3219,12.3976
50,1,-1.3627,5.0993
50,2,15.6686,-18.8626
50,3,-19.9722,-17.1311
50,4,0.7216,-16.7670
50,5,10.3818,10.1023
50,6,-6.9122,-7.6740
50,7,-10.0288,13.5396
50,8,0.5153,1.7013
51,0,-11.3435,12.4062
51,1,-1.4492,5.1583
51,2,15.5949,-18.8567
51,3,-20.0410,-17.1507
51,4,0.7820,-16.8286
51,5,10.4032,10.0232
51,6,-6.9257,-7.7393
51,7,-10.0420,13.3736
51,8,0.4833,1.7143
52,0,-11.3610,12.4175
52,1,-1.5352,5.2164
52,2,15.5210,-18.8508
52,3,-20.1097,-17.1702
52,4,0.8424,-16.8902
52,5,10.4245,9.9440
52,6,-6.9390,-7.8046
52,7,-10.0607,13.2033
52,8,0.4510,1.7276
53,0,-11.3736,12.4316
53,1,-1.6208,5.2735
53,2,15.4469,-18.8448
53,3,-20.1784,-17.1896
53,4,0.9029,-16.9516
53,5,10.4456,9.8646
53,6,-6.9522,-7.8698
53,7,-10.0864,13.0286
53,8,0.4185,1.7413
54,0,-11.3804,12.4483
54,1,-1.7059,5.3297
54,2,15.3728,-18.8388
54,3,-20.2469,-17.2090
54,4,0.9633,-17.0130
54,5,10.4664,9.7852
54,6,-6.9652,-7.9349
54,7,-10.1203,12.8498
54,8,0.3858,1.7552
55,0,-11.3800,12.4671
55,1,-1.7906,5.3851
55,2,15.2985,-18.8327
55,3,-20.3153,-17.2283
55,4,1.0238,-17.0743
55,5,10.4871,9.7056
55,6,-6.9781,-8.0000
55,7,-10.1644,12.6677
55,8,0.3528,1.7694
56,0,-11.3713,12.4871
56,1,-1.8750,5.4396
56,2,15.2240,-18.8265
56,3,-20.3837,-17.2476
56,4,1.0842,-17.1354
56,5,10.5076,9.6259
56,6,-6.9908,-8.0649
56,7,-10.2205,12.4835
56,8,0.3196,1.7839
57,0,-11.3528,12.5070
57,1,-1.9589,5.4934
57,2,15.1495,-18.8203
57,3,-20.4520,-17.2668
57,4,1.1447,-17.1965
57,5,10.5279,9.5462
57,6,-7.0034,-8.1299
57,7,-10.2905,12.2992
57,8,0.2862,1.7987
58,0,-11.3234,12.5247
58,1,-2.0425,5.5464
58,2,15.0747,-18.8140
58,3,-20.5202,-17.2860
58,4,1.2052,-17.2574
58,5,10.5479,9.4663
58,6,-7.0158,-8.1947
58,7,-10.3761,12.1178
58,8,0.2526,1.8137
59,0,-11.2830,12.5376
59,1,-2.1258,5.5986
59,2,14.9999,-18.8076
59,3,-20.5882,-17.3051
59,4,1.2657,-17.3183
59,5,10.5678,9.3862
59,6,-7.0281,-8.2595
59,7,-10.4776,11.9432
59,8,0.2187,1.8290
60,0,-11.2322,12.5428
60,1,-2.2087,5.6501
60,2,14.9249,-18.8012
60,3,-20.6562,-17.3242
60,4,1.3262,-17.3791
60,5,10.5875,9.3061
60,6,-7.0402,-8.3241
60,7,-10.5939,11.7794
60,8,0.1847,1.8446
61,0,-11.1731,12.5380
61,1,-2.2913,5.7010
61,2,14.8497,-18.7948
61,3,-20.7242,-17.3432
61,4,1.3868,-17.4398
61,5,10.6069,9.2259
61,6,-7.0522,-8.3888
61,7,-10.7221,11.6300
61,8,0.1504,1.8604
62,0,-11.1083,12.5220
62,1,-2.3736,5.7512
62,2,14.7744,-18.7882
62,3,-20.7920,-17.3621
62,4,1.4474,-17.5004
62,5,10.6262,9.1455
62,6,-7.0641,-8.4533
62,7,-10.8582,11.4966
62,8,0.1160,1.8764
63,0,-11.0407,12.4948
63,1,-2.4556,5.8007
63,2,14.6989,-18.7816
63,3,-20.8597,-17.3810
63,4,1.5080,-17.5609
63,5,10.6453,9.0651
63,6,-7.0758,-8.5178
63,7,-10.9982,11.3793
63,8,0.0813,1.8927
64,0,-10.9727,12.4572
64,1,-2.5373,5.8497
64,2,14.6233,-18.7749
64,3,-20.9274,-17.3998
64,4,1.5686,-17.6213
64,5,10.6642,8.9845
64,6,-7.0874,-8.5822
64,7,-11.1386,11.2769
64,8,0.0464,1.9092
65,0,-10.9057,12.4106
65,1,-2.6188,5.8980
65,2,14.5475,-18.7682
65,3,-20.9949,-17.4186
65,4,1.6293,-17.6816
65,5,10.6828,8.9039
65,6,-7.0988,-8.6465
65,7,-11.2771,11.1873
65,8,0.0113,1.9260
66,0,-10.8409,12.3563
66,1,-2.7000,5.9458
66,2,14.4716,-18.7614
66,3,-21.0624,-17.4373
66,4,1.6899,-17.7418
66,5,10.7013,8.8231
66,6,-7.1101,-8.7107
66,7,-11.4120,11.1086
66,8,-0.0240,1.9430
67,0,-10.7788,12.2957
67,1,-2.7810,5.9930
67,2,14.3955,-18.7546
67,3,-21.1298,-17.4560
67,4,1.7507,-17.8019
67,5,10.7195,8.7422
67,6,-7.1213,-8.7749
67,7,-11.5428,11.0388
67,8,-0.0595,1.9602
68,0,-10.7197,12.2299
68,1,-2.8617,6.0397
68,2,14.3192,-18.7477
68,3,-21.1971,-17.4746
68,4,1.8114,-17.8619
68,5,10.7376,8.6613
68,6,-7.1323,-8.8389
68,7,-11.6689,10.9763
68,8,-0.0952,1.9776
69,0,-10.6636,12.1599
69,1,-2.9423,6.0858
69,2,14.2428,-18.7407
69,3,-21.2644,-17.4931
69,4,1.8722,-17.9219
69,5,10.7555,8.5802
69,6,-7.1432,-8.9029
69,7,-11.7902,10.9197
69,8,-0.1311,1.9952
70,0,-10.6105,12.0863
70,1,-3.0226,6.1314
70,2,14.1662,-18.7336
70,3,-21.3315,-17.5116
70,4,1.9330,-17.9817
70,5,10.7731,8.4990
70,6,-7.1540,-8.9669
70,7,-11.9070,10.8679
70,8,-0.1672,2.0131
71,0,-10.5602,12.0098
71,1,-3.1027,6.1766
71,2,14.0894,-18.7265
71,3,-21.3986,-17.5301
71,4,1.9938,-18.0415
71,5,10.7906,8.4177
71,6,-7.1647,-9.0307
71,7,-12.0192,10.8201
71,8,-0.2036,2.0312
72,0,-10.5125,11.9309
72,1,-3.1827,6.2213
72,2,14.0125,-18.7194
72,3,-21.4656,-17.5484
72,4,2.0547,-18.1011
72,5,10.8078,8.3364
72,6,-7.1752,-9.0945
72,7,-12.1273,10.7755
72,8,-0.2401,2.0494
73,0,-10.4674,11.8499
73,1,-3.2625,6.2655
73,2,13.9353,-18.7122
73,3,-21.5325,-17.5668
73,4,2.1156,-18.1607
73,5,10.8248,8.2549
73,6,-7.1856,-9.1582
73,7,-12.2313,10.7336
73,8,-0.2768,2.0679
74,0,-10.4247,11.7672
74,1,-3.3421,6.3093
74,2,13.8580,-18.7049
74,3,-21.5993,-17.5850
74,4,2.1766,-18.2202
74,5,10.8417,8.1733
74,6,-7.1958,-9.2218
74,7,-12.3315,10.6939
74,8,-0.3137,2.0866
75,0,-10.3841,11.6830
75,1,-3.4216,6.3527
75,2,13.7805,-18.6975
75,3,-21.6660,-17.6033
75,4,2.2376,-18.2796
75,5,10.8583,8.0917
75,6,-7.2060,-9.2853
75,7,-12.4282,10.6560
75,8,-0.3508,2.1055
76,0,-10.3456,11.5976
76,1,-3.5010,6.3957
76,2,13.7028,-18.6901
76,3,-21.7326,-17.6214
76,4,2.2987,-18.3389
76,5,10.8747,8.0099
76,6,-7.2160,-9.3487
76,7,-12.5215,10.6196
76,8,-0.3881,2.1245
77,0,-10.3091,11.5111
77,1,-3.5803,6.4383
77,2,13.6249,-18.6827
77,3,-21.7992,-17.6395
77,4,2.3598,-18.3981
77,5,10.8910,7.9281
77,6,-7.2259,-9.4121
77,7,-12.6117,10.5844
77,8,-0.4256,2.1438
78,0,-10.2743,11.4237
78,1,-3.6595,6.4805
78,2,13.5468,-18.6751
78,3,-21.8657,-17.6576
78,4,2.4209,-18.4572
78,5,10.9070,7.8461
78,6,-7.2357,-9.4754
78,7,-12.6989,10.5503
78,8,-0.4633,2.1633
79,0,-10.2412,11.3354
79,1,-3.7386,6.5224
79,2,13.4685,-18.6676
79,3,-21.9321,-17.6756
79,4,2.4821,-18.5163
79,5,10.9228,7.7641
79,6,-7.2454,-9.5386
79,7,-12.7833,10.5170
79,8,-0.5012,2.1829
80,0,-10.2096,11.2465
80,1,-3.8176,6.5639
80,2,13.3900,-18.6599
80,3,-21.9984,-17.6935
80,4,2.5434,-18.5752
80,5,10.9384,7.6820
80,6,-7.2549,-9.6017
80,7,-12.8650,10.4844
80,8,-0.5393,2.2027
81,0,-10.1795,11.1569
81,1,-3.8966,6.6051
81,2,13.3113,-18.6522
81,3,-22.0647,-17.7114
81,4,2.6047,-18.6341
81,5,10.9538,7.5998
81,6,-7.2643,-9.6647
81,7,-12.9442,10.4524
81,8,-0.5776,2.2228
82,0,-10.1508,11.0668
82,1,-3.9755,6.6460
82,2,13.2323,-18.6445
82,3,-22.1309,-17.7293
82,4,2.6661,-18.6928
82,5,10.9690,7.5174
82,6,-7.2737,-9.7277
82,7,-13.0211,10.4209
82,8,-0.6160,2.2430
83,0,-10.1233,10.9761
83,1,-4.0545,6.6865
83,2,13.1532,-18.6367
83,3,-22.1970,-17.7471
83,4,2.7276,-18.7515
83,5,10.9840,7.4351
83,6,-7.2829,-9.7906
83,7,-13.0956,10.3897
83,8,-0.6547,2.2634
84,0,-10.0971,10.8850
84,1,-4.1334,6.7268
84,2,13.0738,-18.6288
84,3,-22.2630,-17.7648
84,4,2.7891,-18.8101
84,5,10.9988,7.3526
84,6,-7.2920,-9.8534
84,7,-13.1680,10.3589
84,8,-0.6936,2.2840
85,0,-10.0719,10.7936
85,1,-4.2124,6.7669
85,2,12.9942,-18.6209
85,3,-22.3289,-17.7825
85,4,2.8507,-18.8686
85,5,11.0133,7.2700
85,6,-7.3009,-9.9161
85,7,-13.2384,10.3282
85,8,-0.7327,2.3047
86,0,-10.0478,10.7017
86,1,-4.2914,6.8066
86,2,12.9143,-18.6130
86,3,-22.3948,-17.8001
86,4,2.9123,-18.9270
86,5,11.0277,7.1874
86,6,-7.3098,-9.9787
86,7,-13.3068,10.2978
86,8,-0.7720,2.3257
87,0,-10.0247,10.6096
87,1,-4.3704,6.8462
87,2,12.8343,-18.6050
87,3,-22.4605,-17.8177
87,4,2.9741,-18.9854
87,5,11.0419,7.1047
87,6,-7.3185,-10.0412
87,7,-13.3733,10.2674
87,8,-0.8115,2.3468
88,0,-10.0026,10.5171
88,1,-4.4496,6.8855
88,2,12.7539,-18.5969
88,3,-22.5262,-17.8352
88,4,3.0359,-19.0436
88,5,11.0559,7.0218
88,6,-7.3272,-10.1037
88,7,-13.4380,10.2371
88,8,-0.8512,2.3681
89,0,-9.9813,10.4243
89,1,-4.5289,6.9246
89,2,12.6734,-18.5888
89,3,-22.5919,-17.8526
89,4,3.0978,-19.1018
89,5,11.0696,6.9390
89,6,-7.3357,-10.1660
89,7,-13.5010,10.2068
89,8,-0.8911,2.3896
90,0,-9.9608,10.3313
90,1,-4.6082,6.9635
90,2,12.5925,-18.5806
90,3,-22.6574,-17.8701
90,4,3.1598,-19.1598
90,5,11.0832,6.8560
90,6,-7.3442,-10.2283
90,7,-13.5623,10.1765
90,8,-0.9312,2.4113
91,0,-9.9410,10.2381
91,1,-4.6878,7.0022
91,2,12.5114,-18.5724
91,3,-22.7229,-17.8874
91,4,3.2218,-19.2178
91,5,11.0965,6.7729
91,6,-7.3525,-10.2905
91,7,-13.6221,10.1462
91,8,-0.9715,2.4332
92,0,-9.9220,10.1446
92,1,-4.7675,7.0408
92,2,12.4300,-18.5642
92,3,-22.7883,-17.9047
92,4,3.2840,-19.2756
92,5,11.1097,6.6898
92,6,-7.3607,-10.3526
92,7,-13.6803,10.1158
92,8,-1.0120,2.4552
93,0,-9.9037,10.0510
93,1,-4.8475,7.0792
93,2,12.3484,-18.5559
93,3,-22.8536,-17.9220
93,4,3.3463,-19.3334
93,5,11.1226,6.6066
93,6,-7.3688,-10.4147
93,7,-13.7370,10.0853
93,8,-1.0527,2.4774
94,0,-9.8859,9.9571
94,1,-4.9276,7.1175
94,2,12.2665,-18.5476
94,3,-22.9188,-17.9392
94,4,3.4087,-19.3911
94,5,11.1354,6.5233
94,6,-7.3768,-10.4766
94,7,-13.7923,10.0548
94,8,-1.0937,2.4998
95,0,-9.8688,9.8630
95,1,-5.0081,7.1556
95,2,12.1842,-18.5393
95,3,-22.9840,-17.9563
95,4,3.4711,-19.4487
95,5,11.1479,6.4400
95,6,-7.3847,-10.5385
95,7,-13.8461,10.0240
95,8,-1.1348,2.5223
96,0,-9.8522,9.7688
96,1,-5.0889,7.1937
96,2,12.1017,-18.5309
96,3,-23.0491,-17.9734
96,4,3.5337,-19.5062
96,5,11.1603,6.3565
96,6,-7.3925,-10.6002
96,7,-13.8987,9.9932
96,8,-1.1762,2.5451
97,0,-9.8360,9.6744
97,1,-5.1700,7.2317
97,2,12.0189,-18.5225
97,3,-23.1141,-17.9904
97,4,3.5964,-19.5635
97,5,11.1724,6.2730
97,6,-7.4002,-10.6619
97,7,-13.9499,9.9621
97,8,-1.2178,2.5680
98,0,-9.8204,9.5798
98,1,-5.2515,7.2696
98,2,11.9357,-18.5140
98,3,-23.1790,-18.0074
98,4,3.6593,-19.6208
98,5,11.1843,6.1895
98,6,-7.4078,-10.7235
98,7,-13.9999,9.9309
98,8,-1.2596,2.5911
99,0,-9.8051,9.4850
99,1,-5.3335,7.3074
99,2,11.8523,-18.5056
99,3,-23.2439,-18.0243
99,4,3.7222,-19.6780
99,5,11.1961,6.1058
99,6,-7.4153,-10.7850
99,7,-14.0487,9.8995
99,8,-1.3016,2.6143
100,0,-9.7902,9.3901
100,1,-5.4160,7.3452
100,2,11.7685,-18.4971
100,3,-23.3087,-18.0412
100,4,3.7853,-19.7351
100,5,11.2076,6.0221
100,6,-7.4227,-10.8464
100,7,-14.0963,9.8680
100,8,-1.3439,2.6378
101,0,-9.7757,9.2950
101,1,-5.4989,7.3830
101,2,11.6843,-18.4886
101,3,-23.3734,-18.0580
101,4,3.8485,-19.7921
101,5,11.2189,5.9383
101,6,-7.4300,-10.9078
101,7,-14.1427,9.8362
101,8,-1.3864,2.6614
102,0,-9.7614,9.1998
102,1,-5.5825,7.4207
102,2,11.5998,-18.4801
102,3,-23.4380,-18.0748
102,4,3.9119,-19.8489
102,5,11.2300,5.8545
102,6,-7.4373,-10.9690
102,7,-14.1880,9.8041
102,8,-1.4291,2.6852
103,0,-9.7474,9.1044
103,1,-5.6668,7.4585
